iter	Passed	Remaining
0	150	150772
1	161	80591
2	172	57350
3	182	45473
4	192	38325
5	200	33273
6	210	29864
7	219	27214
8	228	25120
9	237	23557
10	247	22220
11	254	20946
12	260	19813
13	266	18753
14	271	17808
15	275	16917
16	278	16130
17	283	15453
18	287	14824
19	290	14258
20	295	13760
21	299	13301
22	302	12869
23	307	12485
24	310	12121
25	314	11788
26	318	11487
27	322	11207
28	326	10938
29	330	10688
30	334	10459
31	338	10247
32	342	10046333	346	9855334	351	9688335	356	9536336	360	9378337	365	9247338	370	9132339	376	9026440	382	8944441	389	8888442	397	8852443	403	8771444	410	8703445	416	8643446	422	8556
47	426	8466
48	432	8385
49	436	8300
50	440	8204
51	445	8118
52	449	8033
53	453	7946
54	457	7867
55	461	7787
56	466	7713
57	470	7641
58	474	7574
59	479	7507
60	483	7439
61	487	7380
62	492	7323
63	496	7265
64	500	7205
65	505	7148
66	509	7091
67	513	7036
68	517	6981
69	521	6929
70	525	6878
71	529	6826
72	533	6778
73	537	6729
74	541	6678
75	545	6635
76	549	6587
77	553	6542
78	557	6498
79	561	6461
80	566	6421
81	570	6383
82	573	6341
83	577	6302
84	581	6262
85	585	6222
86	589	6183
87	593	6154
88	597	6119
89	601	6079
90	605	6045
91	608	6007
92	612	5969
93	615	5935
94	619	5901
95	623	5868
96	627	5838
97	631	5809
98	635	5780
99	639	5753
100	643	5724
101	647	5702
102	651	5676
103	655	5648
104	659	5620
105	662	5591
106	667	5566
107	670	5538
108	673	5509
109	677	5483
110	681	5461
111	686	5442
112	690	5418
113	693	5390
114	697	5365
115	700	5341
116	704	5317
117	708	5293
118	711	5268
119	716	5253
120	720	5233
121	724	5214
122	728	5195
123	734	5188
124	738	5171
125	743	5153
126	747	5137
127	751	5118
128	755	5099
129	759	5081
130	763	5062
131	767	5047
132	771	5032
133	775	5012
134	780	5001
135	785	4988
136	789	4971
137	793	4956
138	797	4937
139	801	4920
140	805	4906
141	809	4890
142	813	4875
143	818	4865
144	823	4852
145	827	4840
146	832	4829
147	840	4840
148	844	4826
149	849	4812
150	853	4796
151	857	4784
152	861	4770
153	866	4758
154	871	4750
155	876	4743
156	881	4733
157	886	47231158	891	47141159	896	47051160	901	46951161	905	46821162	909	46721163	914	46611164	920	46571165	926	46561166	932	46491167	937	46441168	943	46371169	948	46281170	952	46191171	957	46091172	961	45981173	965	45851174	970	45721175	973	45581176	977	45451177	981	45321178	985	45201179	989	45081180	993	44951181	997	44811182	1000	44618183	1004	44184184	1008	4185	185	1012	4186	186	1017	4187	187	1020	4188	188	1024	4189	189	1028	4190	190	1031	4191	191	1035	4192	192	1039	4193	193	1043	4194	194	1047	4195	195	1051	4196	196	1055	4197	197	1059	4198	198	1063	4199	199	1067	4200	200	1071	4201	201	1074	4202	202	1079	4203	203	1082	4204	204	1086	4205	205	1090	4206	206	1094	4207	207	1098	4208	208	1101	4209	209	1106	4210	210	1109	4211	211	1113	4212	212	1118	4213	213	1122	4214	214	1125	4215	215	1129	4216	216	1133	4217	217	1137	4218	218	1140	4219	219	1144	4220	220	1148	4221	1142	4003
222	1146	3993
223	1149	3983
224	1153	3972
225	1157	3963
226	1161	3953
227	1165	3945
228	1168	3935
229	1172	3926
230	1176	3918
231	1180	3909
232	1184	3899
233	1187	3888
234	1191	3878
235	1194	3868
236	1198	3857
237	1201	3848
238	1205	3838
239	1208	3827
240	1212	3818
241	1216	3809
242	1219	3799
243	1223	3790
244	1227	3781
245	1230	3772
246	1234	3763
247	1238	3755
248	1242	3747
249	1246	3738
250	1250	3730
251	1253	3721
252	1257	3712
253	1261	3704
254	1265	3696
255	1268	3686
256	1272	3677
257	1275	3669
258	1279	3661
259	1283	3653
260	1287	3645
261	1291	3637
262	1295	3630
263	1299	3622
264	1303	3614
265	1306	3605
266	1310	3597
267	1313	3587
268	1317	3579
269	1320	3569
270	1324	3561
271	1328	3554
272	1331	3546
273	1335	3539
274	1340	3532
275	1343	3525
276	1347	3517
277	1351	3509
278	1354	3501
279	1358	3492
280	1361	3484
281	1365	3476
282	1369	3468
283	1372	3460
284	1376	3452
285	1380	3445
286	1384	3438
287	1387	3430
288	1391	3423
289	1395	3415
290	1398	3408
291	1402	3400
292	1405	3392
293	1409	3385
294	1413	3378
295	1417	3370
296	1420	3362
297	1424	3355
298	1428	3348
299	1432	3341
300	1435	3333
301	1439	3326
302	1442	3318
303	1445	3310
304	1449	3302
305	1452	3295
306	1456	3287
307	1460	3282
308	1464	3275
309	1468	3269
310	1472	3262
311	1476	3255
312	1479	3248
313	1483	3241
314	1487	3234
315	1491	3228
316	1494	3220
317	1498	3214
318	1502	3208
319	1506	3201
320	1510	3194
321	1514	3188
322	1518	3182
323	1522	3175
324	1525	3169
325	1529	3162
326	1533	3155
327	1536	3148
328	1540	3141
329	1543	3134
330	1547	3127
331	1550	3120
332	1554	3113
333	1557	3106
334	1561	3099
335	1565	3092
336	1568	3085
337	1572	3079
338	1576	3073
339	1580	3067
340	1583	3060
341	1587	3053
342	1590	3047
343	1594	3040
344	1597	3033
345	1601	3027
346	1605	3020
347	1608	3014
348	1612	3008
349	1616	3001
350	1619	2994
351	1623	2987
352	1626	2981
353	1630	2975
354	1633	2968
355	1637	2961
356	1640	2955
357	1644	2949
358	1648	2942
359	1651	2936
360	1655	2929
361	1658	2923
362	1661	2916
363	1665	2910
364	1669	2904
365	1673	2898
